level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	6614	9354	-1	
2	1	1	0	0	0	2042	317	806	11	-1	
3	1	1	1	0	0	2042	317	806	11	-1	
4	1	1	1	1	0	2042	317	806	11	-1	
5	1	1	1	1	1	2042	317	806	11	95	 
2	1	2	0	0	0	2248	318	600	10	-1	
3	1	2	1	0	0	2248	318	600	10	-1	
4	1	2	1	1	0	2248	318	600	10	-1	
5	1	2	1	1	1	2248	318	600	10	95	 
2	1	3	0	0	0	1454	316	282	22	-1	
3	1	3	1	0	0	1454	316	282	22	-1	
4	1	3	1	1	0	1454	316	282	22	-1	
5	1	3	1	1	1	1454	316	282	22	95	 
2	1	4	0	0	0	3098	150	578	92	-1	
3	1	4	1	0	0	3098	150	578	92	-1	
4	1	4	1	1	0	3098	150	578	92	-1	
5	1	4	1	1	1	3098	202	122	12	80	—
5	1	4	1	1	2	3296	150	184	92	91	926
5	1	4	1	1	3	3554	198	122	12	91	—
2	1	5	0	0	0	5368	18	20	16	-1	
3	1	5	1	0	0	5368	18	20	16	-1	
4	1	5	1	1	0	5368	18	20	16	-1	
5	1	5	1	1	1	5368	18	20	16	59	e
2	1	6	0	0	0	4998	116	1176	136	-1	
3	1	6	1	0	0	4998	116	1176	136	-1	
4	1	6	1	1	0	4998	116	1176	136	-1	
5	1	6	1	1	1	4998	130	434	120	91	Senato
5	1	6	1	1	2	5490	116	166	106	96	del
5	1	6	1	1	3	5714	116	358	120	65	Regno
2	1	7	0	0	0	5408	286	288	20	-1	
3	1	7	1	0	0	5408	286	288	20	-1	
4	1	7	1	1	0	5408	286	288	20	-1	
5	1	7	1	1	1	5408	286	288	20	95	 
2	1	8	0	0	0	5686	284	508	20	-1	
3	1	8	1	0	0	5686	284	508	20	-1	
4	1	8	1	1	0	5686	284	508	20	-1	
5	1	8	1	1	1	5686	284	508	20	95	 
2	1	9	0	0	0	4950	292	214	18	-1	
3	1	9	1	0	0	4950	292	214	18	-1	
4	1	9	1	1	0	4950	292	214	18	-1	
5	1	9	1	1	1	4950	292	214	18	95	 
2	1	10	0	0	0	3600	300	368	20	-1	
3	1	10	1	0	0	3600	300	368	20	-1	
4	1	10	1	1	0	3600	300	368	20	-1	
5	1	10	1	1	1	3600	300	368	20	95	 
2	1	11	0	0	0	3968	298	384	20	-1	
3	1	11	1	0	0	3968	298	384	20	-1	
4	1	11	1	1	0	3968	298	384	20	-1	
5	1	11	1	1	1	3968	298	384	20	95	 
2	1	12	0	0	0	593	305	5600	58	-1	
3	1	12	1	0	0	593	305	5600	58	-1	
4	1	12	1	1	0	593	305	5600	58	-1	
5	1	12	1	1	1	593	305	5600	58	95	 
2	1	13	0	0	0	596	324	716	30	-1	
3	1	13	1	0	0	596	324	716	30	-1	
4	1	13	1	1	0	596	324	716	30	-1	
5	1	13	1	1	1	596	324	716	30	95	 
2	1	14	0	0	0	676	154	5490	388	-1	
3	1	14	1	0	0	676	154	5490	388	-1	
4	1	14	1	1	0	714	154	4470	144	-1	
5	1	14	1	1	1	714	170	232	98	78	Atti
5	1	14	1	1	2	1002	154	804	108	51	Parlameniari.
5	1	14	1	1	3	2120	284	6	8	62	I
4	1	14	1	2	0	676	408	5490	134	-1	
5	1	14	1	2	1	676	462	702	80	93	LEGISLATURA
5	1	14	1	2	2	1470	458	260	72	93	XXVI
5	1	14	1	2	3	1802	488	122	10	90	—
5	1	14	1	2	4	2004	438	100	88	54	12
5	1	14	1	2	5	2176	452	482	74	36	sassione
5	1	14	1	2	6	2738	428	242	90	93	1921
5	1	14	1	2	7	3030	408	154	130	92	—
5	1	14	1	2	8	3256	442	648	74	93	DISCUSSIONI
5	1	14	1	2	9	3974	474	126	12	92	—
5	1	14	1	2	10	4174	438	492	74	95	TORNATA
5	1	14	1	2	11	4734	436	206	70	96	DEL
5	1	14	1	2	12	5014	416	126	90	94	50
5	1	14	1	2	13	5206	432	582	72	96	NOVEMBRE
